fq_name,count
com.alibaba,182
com.alicloud,8
com.aliyun,12
com.almasb,167
com.amap,39
com.amazon,1
com.amazonaws.auth,89
com.amazonaws.client,11
com.amazonaws.regions,44
com.amazonaws.services.apigatewaymanagementapi,8
com.amazonaws.services.athena,7
com.amazonaws.services.autoscaling,12
com.amazonaws.services.batch,22
com.amazonaws.services.cloudfront,9
com.amazonaws.services.dynamodbv2,418
com.amazonaws.services.ec2,19
com.amazonaws.services.ecs,12
com.amazonaws.services.identitymanagement,4
com.amazonaws.services.kinesisfirehose,7
com.amazonaws.services.kms,39
com.amazonaws.services.lambda,454
com.amazonaws.services.lexruntime,7
com.amazonaws.services.logs,11
com.amazonaws.services.rekognition,18
com.amazonaws.services.s3,109
com.amazonaws.services.secretsmanager,8
com.amazonaws.services.securitytoken,3
com.amazonaws.services.simplesystemsmanagement,11
com.amazonaws.services.sns,19
com.amazonaws.services.sqs,94
com.amazonaws.util,4
com.amazonaws.xray,5
com.amihaiemil.docker,4
com.amplitude.api,2
com.amulyakhare.textdrawable,2
com.andexert.library,1
com.andreapivetta,20
com.andrognito,7
com,4
com.android,5
com.android.SdkConstants,53
com.android.Version,1
com.android.aapt,2
com.android.apksig,4
com.android.billingclient,72
com.android.build,2
com.android.build.api,328
com.android.build.gradle,997
com.android.builder,63
com.android.colorpicker,2
com.android.commands,1
com.android.datetimepicker,8
com.android.ddmlib,124
com.android.dex,16
com.android.dx,24
com.android.emulator,5
com.android.example,6
com.android.ide,70
com.android.internal,4
com.android.io,2
com.android.layoutlib,9
com.android.manifmerger,1
com.android.repository,2
com.android.resources,27
com.android.sdklib,40
com.android.settings,2
com.android.settingslib,1
com.android.tools,524
com.android.utils,14
com.android.vending,6
com.android.volley,158
com.android.xml,1
com.anesabml,8
com.annimon,6
com.antwerkz,99
com.anychart,14
com.apollographql,197
com.apple,6
com.appmattus,18
com.apurebase,12
com.arkivanov,410
com.arlib,12
com.artemis,1218
com.arthenica,5
com.ashokvarma.gander,3
com.ataulm,2
com.athaydes,6
com.atlassian,265
com.att,16
com.aungkyawpaing,12
com.auth0,133
com.avaje,92
com.avast.gradle,2
com.axiomalaska,3
com.ayvytr.okhttploginterceptor,1
com.azimolabs,12
com.babylon.orbit,2
com.badlogic.ashley,185
com.badlogic,4
com.badlogic.gdx,1
com.badlogic.gdx.assets,149
com.badlogic.gdx.audio,67
com.badlogic.gdx.backends,103
com.badlogic.gdx.controllers,18
com.badlogic.gdx.graphics,1342
com.badlogic.gdx.maps,89
com.badlogic.gdx.math,429
com.badlogic.gdx.physics,125
com.badlogic.gdx.scenes,368
com.badlogic.gdx.utils,476
com.badlogicgames,7
com.badoo,591
com.baidu,232
com.baomidou,122
com.bartoszlipinski,2
com.baulsupp,139
com.bazaarvoice,7
com.benasher44,153
com.benjaminsproule.swagger,5
com.bennyhuo,34
com.beust,592
com.beyondeye,10
com.bfergerson,12
com.billy.android,2
com.birbit,65
com.blamejared,2
com.blankj,109
com.blazebit,10
