groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
com.github.kamatama41:embulk-test-helpers,1,0,0,0,0,0,0,0,0,0,1,0,0,0
com.fasterxml.jackson.core:jackson-core,44,31,0,0,0,0,4,0,9,0,0,0,0,0
com.fasterxml.jackson.core:jackson-databind,112,49,2,0,0,0,13,0,40,3,3,0,0,2
org.hamcrest:hamcrest-all,18,1,11,0,0,0,0,0,1,0,4,1,0,0
com.thoughtworks.xstream:xstream,4,2,0,0,0,0,0,0,2,0,0,0,0,0
org.javassist:javassist,12,5,2,0,0,0,2,0,3,0,0,0,0,0
com.mixpanel:mixpanel-java,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.vanniktech:gradle-maven-publish-plugin,21,1,0,0,0,20,0,0,0,0,0,0,0,0
com.diffplug.spotless:spotless-plugin-gradle,23,16,0,0,0,7,0,0,0,0,0,0,0,0
org.assertj:assertj-core,156,7,97,0,0,0,1,0,4,0,47,0,0,0
co.touchlab:stately-concurrency,3,3,0,0,0,0,0,0,0,0,0,0,0,0
co.touchlab:stately-isolate,2,2,0,0,0,0,0,0,0,0,0,0,0,0
co.touchlab:stately-iso-collections,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlinx:atomicfu,8,7,0,0,0,0,0,0,0,1,0,0,0,0
org.jetbrains.kotlinx:kotlinx-datetime,11,7,0,0,0,0,3,0,0,1,0,0,0,0
androidx.lifecycle:lifecycle-service,3,3,0,0,0,0,0,0,0,0,0,0,0,0
androidx.lifecycle:lifecycle-common-java8,9,7,0,0,2,0,0,0,0,0,0,0,0,0
dev.icerock.moko:parcelize,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.shabinder:storage-chooser,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.accompanist:accompanist-insets,3,3,0,0,0,0,0,0,0,0,0,0,0,0
org.piwik.java.tracking:matomo-java-tracker,1,1,0,0,0,0,0,0,0,0,0,0,0,0
co.touchlab:stately-common,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin-wrappers:kotlin-react,10,8,0,0,0,0,2,0,0,0,0,0,0,0
org.jetbrains.kotlin-wrappers:kotlin-react-dom,12,9,0,0,0,0,3,0,0,0,0,0,0,0
org.jetbrains.kotlin-wrappers:kotlin-styled,9,8,0,0,0,0,1,0,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-jre8,80,0,0,0,0,0,0,0,77,2,0,0,0,1
io.reactivex:rxnetty-http,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.google.code.gson:gson,190,111,5,0,0,3,10,0,55,2,4,0,0,0
com.android.tools.build:gradle,206,83,0,0,0,89,14,0,2,18,0,0,0,0
org.springframework:spring-webflux,10,1,0,0,0,0,2,0,6,1,0,0,0,0
org.springframework:spring-test,14,1,4,0,0,0,2,0,3,0,3,0,0,1
io.projectreactor.netty:reactor-netty,7,4,1,0,0,0,1,0,1,0,0,0,0,0
com.samskivert:jmustache,4,0,0,0,0,0,0,0,4,0,0,0,0,0
org.slf4j:slf4j-api,165,81,5,0,0,0,14,0,56,6,3,0,0,0
com.fasterxml.jackson.module:jackson-module-kotlin,237,133,2,0,0,0,14,0,83,2,1,0,0,2
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,55,25,2,0,0,0,5,0,23,0,0,0,0,0
io.projectreactor:reactor-test,32,0,21,0,0,0,0,0,0,0,11,0,0,0
de.marcphilipp.gradle:nexus-publish-plugin,4,3,0,0,0,1,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-gradle-plugin-api,15,11,0,0,0,0,0,0,2,2,0,0,0,0
de.jensklingenberg:mpapt-runtime,4,2,0,0,0,0,0,0,2,0,0,0,0,0
org.jetbrains.kotlin:kotlin-compiler-embeddable,53,21,2,0,0,0,1,0,6,23,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-core-js,31,23,0,0,0,0,1,0,7,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-nodejs,5,3,0,0,0,0,2,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-serialization-json,92,71,1,0,0,0,17,0,1,2,0,0,0,0
io.ktor:ktor-serialization,21,20,0,0,0,0,1,0,0,0,0,0,0,0
io.ktor:ktor-websockets,25,17,0,0,0,0,6,0,2,0,0,0,0,0
com.google.inject:guice,17,5,0,0,0,0,4,0,6,2,0,0,0,0
org.reduxkotlin:redux-kotlin-js,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.reduxkotlin:redux-kotlin-thunk-js,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.jooby:jooby-netty,3,2,0,0,0,0,1,0,0,0,0,0,0,0
io.jooby:jooby-guice,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.jooby:jooby-jackson,2,1,0,0,0,0,1,0,0,0,0,0,0,0
io.vertx:vertx-web,27,10,0,0,0,0,3,0,14,0,0,0,0,0
io.vertx:vertx-lang-kotlin,17,8,0,0,0,0,1,0,8,0,0,0,0,0
io.vertx:vertx-lang-kotlin-coroutines,12,8,0,0,0,0,1,0,3,0,0,0,0,0
io.kvision:jquery-kotlin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.testng:testng,26,1,7,1,0,0,1,0,0,0,16,0,0,0
io.kvision:navigo-kotlin,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-jdk8,56,30,2,0,0,0,9,0,14,1,0,0,0,0
io.javalin:javalin,12,4,1,0,0,0,1,0,6,0,0,0,0,0
org.jetbrains.kotlin:stdlib-jdk7,19,17,1,0,0,0,0,0,0,1,0,0,0,0
io.micronaut:micronaut-inject,3,1,0,0,0,0,2,0,0,0,0,0,0,0
io.micronaut:micronaut-http,2,0,0,0,0,0,2,0,0,0,0,0,0,0
io.micronaut:micronaut-router,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.micronaut:micronaut-websocket,1,0,0,0,0,0,1,0,0,0,0,0,0,0
io.kvision:navigo-kotlin-ng,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor,23,19,1,0,0,0,2,0,1,0,0,0,0,0
org.springframework.boot:spring-boot-starter-webflux,43,24,3,0,0,0,4,0,10,0,2,0,0,0
org.springframework.boot:spring-boot-starter-security,34,25,0,0,0,0,3,0,6,0,0,0,0,0
