groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
com.github.javiersantos,16,15,0,0,0,0,0,0,1,0,0,0,0,0
androidx.vectordrawable,124,122,0,0,0,0,2,0,0,0,0,0,0,0
io.codearte.gradle.nexus,44,2,0,0,0,42,0,0,0,0,0,0,0,0
androidx.gridlayout,51,47,0,0,0,0,3,0,0,1,0,0,0,0
com.squareup.workflow,6,4,2,0,0,0,0,0,0,0,0,0,0,0
com.squareup,221,160,9,0,2,2,10,0,37,1,0,0,0,0
org.springframework.boot,1453,653,178,0,22,77,78,34,309,15,81,1,0,5
svarzee.gps,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.squareup.moshi,710,460,8,0,176,0,35,1,27,1,2,0,0,0
net.jpountz.lz4,2,0,0,0,0,0,1,0,1,0,0,0,0,0
com.google.protobuf,194,77,3,0,0,67,14,0,28,5,0,0,0,0
com.corundumstudio.socketio,3,1,0,0,0,0,0,0,2,0,0,0,0,0
com.hannesdorfmann,17,14,0,0,0,0,2,0,1,0,0,0,0,0
com.jakewharton.retrofit,205,182,0,0,0,0,5,0,18,0,0,0,0,0
net.mbonnin.vespene,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.dailymotion.kinta,2,1,0,0,0,0,1,0,0,0,0,0,0,0
android.arch.paging,64,52,8,0,0,0,4,0,0,0,0,0,0,0
org.adw.library,5,5,0,0,0,0,0,0,0,0,0,0,0,0
com.github.chrisbanes,117,103,0,0,0,0,7,0,7,0,0,0,0,0
com.scwang.smartrefresh,71,43,0,0,0,0,24,0,4,0,0,0,0,0
com.miguelcatalan,18,14,0,0,0,0,1,0,3,0,0,0,0,0
com.github.seven332,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.tbruyelle,29,26,0,0,0,0,3,0,0,0,0,0,0,0
com.allenliu.versionchecklib,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.jakewharton.rxrelay2,51,38,0,0,0,0,6,0,7,0,0,0,0,0
me.zhanghai.android.systemuihelper,3,3,0,0,0,0,0,0,0,0,0,0,0,0
com.f2prateek.rx.preferences2,23,20,1,1,0,0,0,0,1,0,0,0,0,0
com.squareup.okio,155,111,6,2,0,0,14,0,16,4,0,0,0,2
eu.davidea,13,13,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup,249,194,4,0,0,1,18,0,30,1,1,0,0,0
com.github.inorichi,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.pwittchen,22,15,0,0,0,0,1,0,6,0,0,0,0,0
com.github.nukc.stateview,2,1,0,0,0,0,0,0,1,0,0,0,0,0
com.afollestad.material-dialogs,235,203,0,0,0,0,23,0,9,0,0,0,0,0
com.facebook.stetho,200,160,3,0,0,0,6,0,31,0,0,0,0,0
com.github.kamatama41,2,0,0,0,0,1,0,0,0,0,1,0,0,0
net.researchgate,5,1,0,0,0,4,0,0,0,0,0,0,0,0
com.taroid.knit,2,0,1,0,0,0,0,0,0,0,1,0,0,0
org.spekframework.spek2,141,28,58,0,0,0,7,0,0,0,4,39,1,4
de.mannodermaus.gradle.plugins,61,4,0,0,0,57,0,0,0,0,0,0,0,0
com.fasterxml.jackson.core,420,243,7,0,0,0,58,0,97,7,5,0,0,3
com.github.bijoysingh,3,0,0,0,0,0,3,0,0,0,0,0,0,0
com.google.android,155,117,3,0,0,0,7,0,4,23,0,0,0,1
androidx.biometric,62,61,0,0,0,0,1,0,0,0,0,0,0,0
com.github.jkwiecien,8,8,0,0,0,0,0,0,0,0,0,0,0,0
com.facebook.litho,14,0,0,0,5,0,4,0,3,2,0,0,0,0
com.facebook.soloader,3,1,0,0,0,0,1,0,1,0,0,0,0,0
com.android.volley,82,74,0,0,0,0,2,0,6,0,0,0,0,0
com.github.zellius,2,0,0,0,0,2,0,0,0,0,0,0,0,0
com.thoughtworks.xstream,4,2,0,0,0,0,0,0,2,0,0,0,0,0
org.javassist,41,29,4,0,0,0,2,0,5,1,0,0,0,0
com.mixpanel,3,3,0,0,0,0,0,0,0,0,0,0,0,0
com.novoda,251,3,0,0,0,248,0,0,0,0,0,0,0,0
org.amshove.kluent,117,20,70,10,0,0,1,0,1,0,15,0,0,0
com.tuarua,1,1,0,0,0,0,0,0,0,0,0,0,0,0
androidx.databinding,32,5,2,0,18,0,0,2,0,5,0,0,0,0
